"x1.2","x2.1","x2.2","x8.1","x8.2","x8.3","x8.4","x8.5","x8.6","x8.7","x8.8","x8.9"
351,17,"1","2","1","4","4","3","4","3","4","4"
1008,14,"2","1","2","1","1","2","5","1","2","2"
6,14,"1","2","1","5","3","1","5","3","3","3"
5,16,"1","2","1","5","2","1","5","3","2","3"
4,13,"1","2","1","5","2","1","5","1","3","4"
1009,15,"1","1",NA,"2","2","2","4","1","2","2"
307,17,"1","2",NA,"5","3","3","5","1","5","5"
545,15,"1","2","1","5","5","1","5","1","5","4"
548,17,"1","2","1","5","5","1","5","1","4","4"
544,19,"2","2","1","3","3","3","4","3","3","3"
549,18,"2","1","2","1","1","3","3","3","3","3"
551,14,"1","2","1","5","4","2","5","2","4","4"
550,14,"1","4","1","4","2","2","4","3","4","4"
532,18,"1","2","1","5","5","5","5",NA,"5","5"
537,15,"2","1","1","5","5","5","5","1","5","5"
384,19,"2","1","1",NA,NA,NA,NA,NA,NA,NA
386,16,"1","4",NA,"2","3","2",NA,"3","2","3"
383,17,"2","1","2","1","3","3","2","1","3","3"
385,13,"1","3","1",NA,NA,NA,NA,NA,NA,NA
406,13,"1","2","1","4","3","4","4","2","4","5"
466,16,"1","1","1","5","5","4","5","1","5","4"
405,15,"2","2","2","2","4","5","5","3","5","3"
107,20,"1","1","2","4","4","4","4","2","3","3"
102,18,"1","2",NA,"5","3","2","5","1","2","2"
404,13,"1","1","1","5","5","4","5","1","5","4"
410,13,"2","1","1","3","4","2","4","1","3","4"
407,14,"2","1","1","1","1","1","3","1","5","5"
408,15,"1","1","2","3","3","3","3","1","3","3"
409,17,"1","4",NA,"4","4","4","4","4","5","4"
456,13,"1","1","2","4","4","4","4","2","4","4"
460,14,"2","1",NA,"4","4","4","4","1","4","4"
452,17,"2","2","1","5","5","5","5","2","2","5"
457,19,"1","1","2","4","4","4","4","2","2","2"
19,20,"1","1","1","4","3","3","4","3","4","4"
18,19,"2","4","2","4","4","4","4","2","4","5"
17,17,"1","1","1","4","4","1","4","1","4","1"
25,14,"1",NA,"1","4","4","4","4","2","4","4"
24,20,"1","2","1","3","4","4","5","2","5","4"
21,15,"2","1","2","3","1","3","4","1","5","3"
20,18,"2","4","1","4","4","3","4","2","3","4"
146,17,"2","1","1","4","2","2","4","2","2","4"
23,14,"1",NA,NA,"4","4","4","4","2","5","5"
316,20,"1","1","2","4","2","4","4","2","2","4"
178,13,"1","3","2","3","4","5","5","2","4","4"
458,20,"2","1","2","1","2","4","4","1","2","2"
459,19,"1","4",NA,"4","4","4","4","1","4","4"
454,19,"1","1","1","4","4","4","4","1","4","4"
453,20,"1","1","2","4","4","2","4","1","5","5"
461,14,"2","1",NA,"1","3","2","4","1","2","2"
333,20,"1","1","2","5","5","4","5","2","5","5"
373,13,"1","1","2","5","2","3","5","3","3","3"
374,20,"1","1","2","5","4","3","5","3","3","3"
375,20,"1","1","2","5","3","3","5","1","3","3"
372,20,"1","1","2","5","3","3","5","2","2","2"
534,13,"2","1","1","5","5","5","5","1","5","5"
526,19,"1","3","1","5","5","5","5","1","5","5"
529,19,"2","2","2","5","5","5","5","1","5","5"
528,19,"2","2","1","5","5","5","5","1","5","5"
527,19,"2","2","2","5","5","1","5","1","5","5"
530,15,"2","1","1","5","5","5","5","1","5","5"
533,16,"1","1","1","5","5","5","5","1","5","5"
147,15,"2","1","2","4","2","2","4","2","4","4"
315,20,"1","2","2","5","5","5","5","1","5","5"
177,14,"2","2","1","2","2","5","5","1","2","5"
180,15,"2","2",NA,"5","5","5","5","2","2","1"
394,18,"2","1","1","5","4","4","5","2",NA,"4"
393,17,"1","1","2","2","1","1","3","3","4","3"
392,19,"2","2","2","1","3","2","3","1","3","3"
395,15,"1","2","2","2","3","1","1","1","1","1"
413,18,"2","2","2","4","3","4","5","1","4","4"
119,18,"1","2","2","2","4","4","4","1","2","2"
467,15,"1","1","2","5","5","4","5","1","4","4"
470,13,"1","1","1","5","5","4","5","1","5","4"
469,17,"2","1","1","5","5","4","5","1","5","4"
121,20,"2","2","1","2","3","4","5","4","2","5"
468,14,"1","1","1","5","5","4","5","1","4","4"
254,18,"1","1",NA,NA,NA,NA,NA,NA,NA,NA
253,18,"1","2","2","5","3","5","5","2","3",NA
252,18,"1",NA,NA,"5","2","5","5","2","1",NA
122,20,"2",NA,NA,"5","2","5","5","1","2","4"
311,18,"1","2","2","5","3","3","3","3","5","5"
306,18,"1","1","2","5","2","4","5","2","4","4"
304,13,"1","2","2","4","3","3","5","2","3","4"
473,20,"2",NA,NA,"1","4","3","4","3","3","4"
472,20,"2","1","2","4","4","4","4","2","5","4"
310,17,"1","2","2","5","3","3","3","2","5","5"
324,19,"1","1","1","4","4","4","2","2","4","4"
323,20,"1","4","2","4","5","4","4","2","4","1"
401,16,"1","1","2","4","4","2","4","1","2","4"
201,17,"1","2","1","5","5","2","5","1","5","5"
588,16,"1","2","2","4","4","4","4","2","4","4"
587,13,"1","2","2","4","4","4","4","2","4","4"
586,13,"1","2","1","2","2","4","4","2","2","4"
46,17,"2","4",NA,NA,NA,NA,NA,NA,NA,NA
47,17,"2","4",NA,"2","2","2","4","2","2","2"
48,19,"1","2","1","4","2","1","5","1","2","2"
49,17,"1","4",NA,"4","4","2","4","1","2","1"
50,18,"2","2",NA,"4","2","2","4","2","2","2"
187,20,"2","2",NA,"4","3","4","4","1","1","1"
192,18,"1","2","2","5","5","4","5","2","4","5"
186,20,"1","1","2","4","1","4","4","2","2","2"
189,18,"2","1","2","4","4","4","5","2","2","2"
185,18,"1","1","2","4","4","5","5","2","2","5"
184,18,"1","1","1","4","2","4","4","1","4","3"
56,17,"1","2","1","3","3","1","5","2","3","3"
59,19,"1","2","1","1","1","3","4","2","2","2"
51,18,"2","4","1","1","4","1","4","1","2","2"
41,18,"1",NA,"1","5","5","3","5","2","3","3"
42,19,"2","2","1","1","1","3","2","5","1","1"
43,16,"1","3","1","5","3","3","5","1","2","2"
53,18,"1","4",NA,"5","4","2","2","2","2","2"
52,17,"1","4",NA,"4","2","2","4","1","2","2"
55,18,"1","4",NA,"4","2","2","3","3","2","2"
57,19,"1","4","1","5","1","1","4","1","2","2"
61,17,"2","4",NA,"1","4","2","4","1","2","2"
54,18,"2","4","1","1","4","2","4","1","2","2"
60,16,"2","4","2","2","2","2","4","2","4","2"
58,19,"2","4",NA,"2","2","2","4","3","2","2"
309,18,"1","2","2","5","3","3","5","5","5","5"
308,18,"1","2","2","5","3","3","5","5","4","4"
312,20,"1","1","2","4","3","2","4","1","2","4"
325,13,"1","2","1","5","5","1","5","2","5","5"
327,14,"1","2","1","1","2","4","4","4","2","4"
328,14,"1","2","2","5","5","1","5","1","5","4"
329,14,"1","2","1","4","5","4","5","2","5","4"
330,16,"2","1","2","5","5","4","2","2","4","5"
331,15,"2",NA,NA,"3","2","5","5","2","2","5"
606,19,"2","2",NA,"1","2","2","3","2","2","1"
607,19,"2","1","1","1","2","2","3","2","1","2"
605,18,"2","1","1","1","1","3","4","3","2","2"
604,19,"2","2","2","2","1","3","4","3","2","2"
602,14,"1","2","1","2","2","4","4","2","4","3"
603,13,"1","1","1","4","4","2","4","2","4","2"
607200,14,"1","2","2","2","4","2","4","2","4","3"
292,17,"1","1","1","5","2","4","4","1","4","2"
293,17,"1","1","1","4","4","4","5","1","4","2"
159,16,"1","2","2","4","4","2","4","1","4","4"
157,14,"2","1","2","1","1","2","2","2","2","3"
156,15,"2","1","2","2","2","2","3","2","2","2"
173,15,"1","2","1","5","5","5","5","2","5","5"
174,13,"1","2",NA,"5","5","5","5","2","5","5"
175,17,"1","1",NA,"5","5","5","5","2","5","5"
45,19,"1","2","1","5","5","3","5","1","2","2"
44,17,"1","2","1","5","3","1","5","1","2","2"
30300,15,"1","1","2","5","5","4","5","5","4","5"
1010,18,"2","1","1","4","1","4","4","1","2","4"
1011,15,"1","4","1","2","1","1","5","1","5","2"
1012,17,"1","1","1","3","4","3","1","3","2","2"
1013,15,"1","1",NA,NA,NA,NA,NA,NA,NA,NA
28,16,"1","1","1","4","5","4","5","1","5","5"
1014,18,"1","1","2","5","2","2","5","1","4","4"
115,13,"1","2","2","5","4","4","4","1","5","4"
114,16,"1","2","2","5","5","4","5","2","2","2"
113,18,"2","2",NA,"3","4","3","5","2","4","4"
171,15,"2","1",NA,"3","2","5","5","2","2","2"
172,16,"1","2","1","5","5","5","5","2","5","5"
600,14,"1","2","2","4","3","2","4","2","3","2"
589,15,"2","2","1","4","2","2","4","2","4","2"
7,19,"1","2","1","5","3","1","5","2","2","3"
8,19,"1","2","1","4","3","1","5","1","1","3"
9,18,"1","2","1","1","3","1","5","1","2","3"
10,13,"1","2",NA,"5","3","1","5","3","3","3"
11,13,"1","2",NA,"3","3","1","5","2","3","3"
12,16,"1","4","1","5","2","1","5","1","2","1"
342,20,"1","1","2","4","5","3","3","2","4","4"
154,20,"2","1","2","4","2","4","4","2","4","4"
153,19,"1","1","2","5","1","4","5","1","5","5"
152,15,"1","2","1","4","4","2","5","2","4","4"
150,20,"1","1","1","5","5","4","5","2","2","4"
168,20,"1","2","1","5","5","5","5","2","5","5"
167,18,"1","2","1","5","5","4","5","4","2","4"
367,17,"1","1","2",NA,NA,NA,NA,NA,NA,NA
1015,18,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,20,"1",NA,NA,"2",NA,NA,NA,NA,NA,NA
613,20,"1","2","1","5","4","3","4","2","3","4"
612,16,"1","2","1","5","4","3","5","2","4","4"
451,17,"2","1","2","4","4","4","4","1","4","4"
228,20,"1","2","1","5","4","4","5","2","4","4"
229,13,"1","2","2","5","5","4","5","2","4","4"
230,15,"2",NA,NA,"5","2","2","1","2","2","2"
439,19,"2","2","1","4","5","4","4","2","5","4"
490,20,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
352,19,"2","1","1","2","4","4","4","2","4","4"
353,20,"1","4","2","4","2","4","1","2","2","2"
356,19,"1","1","1","3","1","2","4","1","2","2"
355,13,"2","2","1","2","2","1","4","2","2","2"
354,14,"1","1","1","4","3","3","4","1","4","4"
294,19,"2","2","1","4","2","2","5","1","4","2"
13,19,"1","2","1","3","2","1","5","2","3","3"
14,20,"1","2","1","3","2","1","5","2","3","3"
15,16,"1","2","1","1","3","1","5","1","3","3"
16,17,"1","2","1","5","3","1","5","3","3","1"
17200,14,"1","2",NA,"5","3","1","5","3","3","3"
271,19,"1","2","2","2","1","1","5","3","2","2"
265,20,"2","2","2","3","2","5","4","1","1","1"
270,19,"1","2","2","5","3","5","3","1","5","5"
211,17,"2","2","2","1","1","1","1","3","1","1"
209,16,"2","1","2","4","2","4","4","2","5","5"
207,17,"1","2","2","3","4","5","5","3","5","4"
210,18,"1","2","2","5","1","1","1","1","1","1"
205,19,"1","2","1","5","5","4","5","1","4","4"
202,17,"1","2","1","5","5","2","5","1","5","4"
208,19,"1","2","1","4","5","3","4","2","1","4"
366,13,"1","1","2","4","4","4","4","2","2","2"
365,18,"1","1","2","4","4","4","4","2","2","2"
364,18,"1","1","2","4","2","4","5","1","2","4"
391,17,"1","2","2","5","5","5","3","1","5","3"
387,14,"1","1","2","3","3","5","3","2","3","3"
390,19,"2","3","2","1","2","1","1","1","1","2"
388,15,"1","1",NA,"3","1","1","2","3","4","3"
389,19,"2","1","1","2","2","1","3","1","3","2"
314,18,"2","2","2","3","3","5","5","3","3","1"
194,19,"1","2","2","5","5","4","5","1","5","5"
196,19,"2","2","2","5","5","4","5","1","5","5"
298,19,"1","2","1","4","3","3","4","1","2","2"
317,17,"2","1",NA,"5","5","5","4","2","3","3"
357,17,"1","1","1","4","4","3","4","1","4","4"
94,17,"1","1","2","3","3","3","3","3","3","3"
1017,14,"1","1","2","4","4","4","4","1","4","4"
465,19,"1","1","2","5","5","4","5","1","5","5"
614,16,"1","1","1","2","2","2","5","3","4","4"
611,13,"1","2","1","5","4","3","5","3","4","3"
143,17,"2","1","1","5","4","4","4","2","4","4"
138,17,"2","4",NA,"2","2","2","3","2","2","2"
141,14,"1","1","2","4","3","2","4","2","4","4"
142,15,"2","1","2","1","2","3","4","2","2","4"
381,14,"1","4",NA,"3","3","2","1","2","1","1"
552,17,"1","2","1","4","4","4","4","1","4","4"
447,15,"1","1","2","4","4","5","4","1","3","4"
448,16,"1","1","2","4","5","5","4","1","4","4"
449,18,"2","1",NA,"4","4","4","4","3","4","5"
450,19,"1","1","1","4","5","4","5","1","5","5"
451200,16,"1",NA,NA,"5","5","5","5","1","5","5"
482,20,"1","1","2","5","4","4","5","1","4","5"
495,20,"1","2","1","5","4","4","5","3","1","5"
478,20,"1","2","1","1","1","2","1","2","1","1"
479,19,"1","1","2","5","4","4","5","1","4","5"
481,14,"1","1","2","5","5","4","5","1","4","4"
436,19,"1","4",NA,"2","2","2","2","1","2","2"
543200,20,"1","2","1","5","5","5","5","1","1","5"
543300,19,"1","2","1","4","2","4","4","2","2","4"
123,20,"2","1","1","2","2","2","4","2","3","2"
536,14,"2","1","2","5","5","5","5","1","5","5"
445,17,"1",NA,NA,"4","5","5","5","1","3","4"
483,18,"1","1","2","5","4","4","5","1","4","5"
436200,15,"1","4","1","4","2","2","2","2","2","2"
433,18,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
531,19,"1","3","1","5","5","5","5","1","5","5"
441,20,"2","1","2","4","5","5","5","3","4","4"
427,19,"1","4","1","2","2","2","2","2","2","4"
442,19,"1","1","1","5","5","4","4","2","4","4"
382,20,"1","1","1","5","1","1","5","1","5","5"
443,16,"1","1","1","4","5","4","5","1","5","4"
444200,15,"2","1",NA,"4","4","5","4","1","4","3"
